Mouse,weight,measurement
1,25,1
1,25.96,2
1,26.36,3
2,24,1
2,27.47,2
2,26.6,3
3,26,1
3,26.04,2
3,26.6,3
4,23,1
4,22,2
4,22.9,3
5,24,1
5,24.61,2
5,25.57,3
6,19,1
6,19.8,2
6,19.45,3
7,22,1
7,22.32,2
7,22,3
8,26.96,1
8,25.14,2
8,25.34,3
9,25.44,1
9,25.05,2
9,26.52,3
0,24.26,1
0,24.02,2
0,24.22,3
